player_name,date,value,club,age
利桑德罗·马丁内斯 ,1.66319E+12,5000万,,
利桑德罗·马丁内斯 ,1.66743E+12,5000万,,
利桑德罗·马丁内斯 ,1.68721E+12,5000万,,
利桑德罗·马丁内斯 ,1.70294E+12,5000万,,
利桑德罗·马丁内斯 ,1.71037E+12,4500万,,
利桑德罗·马丁内斯 ,1.71676E+12,4500万,,
利桑德罗·马丁内斯 ,1.72134E+12,5000万,,
利桑德罗·马丁内斯 ,1.7343E+12,5000万,,
利桑德罗·马丁内斯 ,1.74225E+12,4500万,,
阿马德·迪亚洛 ,1.60393E+12,1500万,,
阿马德·迪亚洛 ,1.6092E+12,1500万,,
阿马德·迪亚洛 ,1.61602E+12,1500万,,
阿马德·迪亚洛 ,1.6231E+12,1800万,,
阿马德·迪亚洛 ,1.64021E+12,1800万,,
阿马德·迪亚洛 ,1.65524E+12,1500万,,
阿马德·迪亚洛 ,1.66311E+12,1000万,,
阿马德·迪亚洛 ,1.66682E+12,700万,,
阿马德·迪亚洛 ,1.67961E+12,1300万,,
阿马德·迪亚洛 ,1.68557E+12,1800万,,
阿马德·迪亚洛 ,1.70294E+12,1800万,,
阿马德·迪亚洛 ,1.71676E+12,1800万,,
阿马德·迪亚洛 ,1.72773E+12,2200万,,
阿马德·迪亚洛 ,1.7343E+12,2500万,,
阿马德·迪亚洛 ,1.74225E+12,4000万,,
德里赫特,1.46732E+12,10万,,
德里赫特,1.48469E+12,100万,,
德里赫特,1.49679E+12,500万,,
德里赫特,1.51614E+12,1600万,,
德里赫特,1.5221E+12,2500万,,
德里赫特,1.52875E+12,4000万,,
德里赫特,1.5386E+12,5000万,,
德里赫特,1.54595E+12,6500万,,
德里赫特,1.55243E+12,7000万,,
德里赫特,1.56029E+12,7500万,,
德里赫特,1.57611E+12,7500万,,
德里赫特,1.5863E+12,6750万,,
德里赫特,1.59831E+12,7000万,,
德里赫特,1.6092E+12,7500万,,
德里赫特,1.62207E+12,7500万,,
德里赫特,1.63416E+12,7000万,,
德里赫特,1.64065E+12,6500万,,
德里赫特,1.6473E+12,7000万,,
德里赫特,1.65455E+12,7000万,,
德里赫特,1.66795E+12,7000万,,
德里赫特,1.68004E+12,7500万,,
德里赫特,1.68738E+12,7500万,,
德里赫特,1.69758E+12,7000万,,
德里赫特,1.70251E+12,6500万,,
德里赫特,1.71693E+12,6500万,,
德里赫特,1.72773E+12,5500万,,
德里赫特,1.7343E+12,4500万,,
德里赫特,1.74225E+12,4000万,,
约书亚·齐尔克泽,1.55675E+12,10万,,
约书亚·齐尔克泽,1.56288E+12,100万,,
约书亚·齐尔克泽,1.57602E+12,100万,,
约书亚·齐尔克泽,1.58138E+12,400万,,
约书亚·齐尔克泽,1.58388E+12,700万,,
约书亚·齐尔克泽,1.5863E+12,630万,,
约书亚·齐尔克泽,1.59416E+12,900万,,
约书亚·齐尔克泽,1.61291E+12,900万,,
约书亚·齐尔克泽,1.62267E+12,800万,,
约书亚·齐尔克泽,1.64142E+12,800万,,
约书亚·齐尔克泽,1.64971E+12,1100万,,
约书亚·齐尔克泽,1.66812E+12,1100万,,
约书亚·齐尔克泽,1.67935E+12,900万,,
约书亚·齐尔克泽,1.68678E+12,900万,,
约书亚·齐尔克泽,1.69698E+12,1300万,,
约书亚·齐尔克泽,1.70303E+12,3000万,,
约书亚·齐尔克泽,1.7102E+12,4000万,,
